dataset,feature_a,feature_b,abs_pearson_corr,is_high_redundancy
bwr,vanA,vanB,1.0000000000000002,True
bwr,PSZ,DOM,0.9999999999999977,True
bwr,subcool,power_density,0.05300697464358604,False
bwr,PSZ,power_density,0.050979806736677374,False
bwr,DOM,power_density,0.0509798067366773,False
bwr,PSZ,CRD,0.04195549607386478,False
bwr,DOM,CRD,0.04195549607386429,False
bwr,flow_rate,power_density,0.041909884334367375,False
bwr,vanA,flow_rate,0.03868969622681342,False
bwr,vanB,flow_rate,0.03868969622681341,False
bwr,DOM,subcool,0.028917405660085344,False
bwr,PSZ,subcool,0.028917405660084532,False
bwr,vanB,subcool,0.024159367186834535,False
bwr,vanA,subcool,0.024159367186834438,False
bwr,vanA,CRD,0.021236717981563166,False
bwr,vanB,CRD,0.021236717981563166,False
bwr,PSZ,flow_rate,0.018610842819127227,False
bwr,DOM,flow_rate,0.018610842819126974,False
bwr,CRD,power_density,0.018598891882307282,False
bwr,vanA,VFNGAP,0.016636836050692265,False
bwr,vanB,VFNGAP,0.016636836050692258,False
bwr,power_density,VFNGAP,0.01404356595209645,False
bwr,vanB,power_density,0.013797777218667798,False
bwr,vanA,power_density,0.013797777218667743,False
bwr,subcool,flow_rate,0.010891210970200774,False
bwr,CRD,VFNGAP,0.010466553189176475,False
bwr,PSZ,VFNGAP,0.009891042668947556,False
bwr,DOM,VFNGAP,0.009891042668947359,False
bwr,CRD,flow_rate,0.006181814885580016,False
bwr,subcool,CRD,0.004583647934052755,False
bwr,subcool,VFNGAP,0.0035399374340053416,False
bwr,flow_rate,VFNGAP,0.0026143841304809567,False
bwr,PSZ,vanA,0.0014838223042052266,False
bwr,PSZ,vanB,0.0014838223042052073,False
bwr,DOM,vanB,0.0014838223042048387,False
bwr,DOM,vanA,0.0014838223042048344,False
