dataset,n_samples,full_input_dim,output_dim,full_best_model,full_best_mean_r2,full_best_mean_nrmse,std_r2,std_nrmse,selected_best_model,selected_best_mean_r2,selected_best_mean_nrmse,selected_input_dim,dim_reduction_rate,delta_r2_selected_minus_full,delta_nrmse_selected_minus_full
xs,1000,8,1,Ridge,0.9999347287510318,0.0013574251772826198,0.0,0.0,Ridge,0.9566031012932354,0.035001308934885116,4,0.5,-0.043331627457796396,0.033643883757602494
rea,2000,4,4,GradientBoosting,0.9927422132912427,0.009807755185591046,0.004659064796294319,0.000676283216946664,GradientBoosting,0.9858025031050397,0.014858331879569912,2,0.5,-0.006939710186202985,0.005050576693978867
heat,1000,7,1,GradientBoosting,0.9974652259661068,0.011159089303009526,0.0,0.0,GradientBoosting,0.9062522021957966,0.06786403307724982,1,0.8571428571428572,-0.09121302377031015,0.0567049437742403
powery,1000,6,22,Ridge,0.995286615967924,0.013052084245611184,0.0019643193447002054,0.002092350282253618,Ridge,0.9952866159679239,0.013052084245611188,6,0.0,-1.1102230246251565e-16,3.469446951953614e-18
fp,400,13,4,Ridge,0.9775273909250275,0.01778091057208431,0.03453986490814574,0.017485954364903696,Ridge,0.7361562179665031,0.07489135969668387,3,0.7692307692307692,-0.2413711729585244,0.05711044912459956
chf,2500,6,1,RandomForest,0.955647782372684,0.02492319204236608,0.0,0.0,KNN,0.9412961414243581,0.028673408247637946,4,0.33333333333333337,-0.014351640948325861,0.003750216205271866
bwr,2000,9,5,GradientBoosting,0.9663074321720755,0.04030319338118548,0.020350876167964566,0.01873427294374617,GradientBoosting,0.941670979020552,0.05530688568818902,1,0.8888888888888888,-0.02463645315152352,0.01500369230700354
htgr,3004,8,4,GradientBoosting,0.9029671894254709,0.051875001716661824,0.0010632429978080012,0.000894847577824047,GradientBoosting,0.9029604067030303,0.0518768097044907,8,0.0,-6.782722440590305e-06,1.8079878288737583e-06
microreactor,751,8,4,GradientBoosting,0.6581336217760099,0.10327729719184744,0.01743499057474872,0.004237494216156942,GradientBoosting,0.6574105309695693,0.10338581078182615,8,0.0,-0.0007230908064406183,0.0001085135899787093
