dataset,feature,target,feature_meaning,target_meaning,expected_direction,expected_effect,direction_rationale
heat,qprime,T,linear heat generation rate,temperature response,1,positive,"Based on the expected physical relation, increasing qprime is expected to increase T."
heat,Tin,T,inlet temperature,temperature response,1,positive,"Based on the expected physical relation, increasing Tin is expected to increase T."
heat,R,T,fuel or heat-source radius,temperature response,1,positive,"Based on the expected physical relation, increasing R is expected to increase T."
heat,L,T,heated length,temperature response,1,positive,"Based on the expected physical relation, increasing L is expected to increase T."
heat,k,T,thermal conductivity,temperature response,-1,negative,"Based on the expected physical relation, increasing k is expected to decrease T."
heat,mdot,T,coolant mass flow rate,temperature response,-1,negative,"Based on the expected physical relation, increasing mdot is expected to decrease T."
heat,Cp,T,coolant heat capacity,temperature response,-1,negative,"Based on the expected physical relation, increasing Cp is expected to decrease T."
rea,rod_worth,max_power,reactivity worth of the control rod,maximum power,1,positive,"Based on the expected physical relation, increasing rod_worth is expected to increase max_power."
rea,beta,max_power,effective delayed neutron fraction,maximum power,-1,negative,"Based on the expected physical relation, increasing beta is expected to decrease max_power."
rea,rod_worth,burst_width,reactivity worth of the control rod,power burst width,-1,negative,"Based on the expected physical relation, increasing rod_worth is expected to decrease burst_width."
rea,beta,burst_width,effective delayed neutron fraction,power burst width,1,positive,"Based on the expected physical relation, increasing beta is expected to increase burst_width."
rea,rod_worth,max_Tf,reactivity worth of the control rod,maximum fuel temperature,1,positive,"Based on the expected physical relation, increasing rod_worth is expected to increase max_Tf."
rea,h_gap,max_Tf,fuel-cladding gap heat-transfer coefficient,maximum fuel temperature,-1,negative,"Based on the expected physical relation, increasing h_gap is expected to decrease max_Tf."
rea,rod_worth,avg_Tcool,reactivity worth of the control rod,average coolant temperature,1,positive,"Based on the expected physical relation, increasing rod_worth is expected to increase avg_Tcool."
rea,gamma_frac,avg_Tcool,gamma heating fraction,average coolant temperature,1,positive,"Based on the expected physical relation, increasing gamma_frac is expected to increase avg_Tcool."
xs,FissionFast,k,fast-group fission cross section,effective multiplication factor,1,positive,"Based on the expected physical relation, increasing FissionFast is expected to increase k."
xs,FissionThermal,k,thermal-group fission cross section,effective multiplication factor,1,positive,"Based on the expected physical relation, increasing FissionThermal is expected to increase k."
xs,CaptureFast,k,fast-group capture cross section,effective multiplication factor,-1,negative,"Based on the expected physical relation, increasing CaptureFast is expected to decrease k."
xs,CaptureThermal,k,thermal-group capture cross section,effective multiplication factor,-1,negative,"Based on the expected physical relation, increasing CaptureThermal is expected to decrease k."
xs,Scatter12,k,group-1 to group-2 scattering cross section,effective multiplication factor,1,positive,"Based on the expected physical relation, increasing Scatter12 is expected to increase k."
xs,Scatter21,k,group-2 to group-1 scattering cross section,effective multiplication factor,-1,negative,"Based on the expected physical relation, increasing Scatter21 is expected to decrease k."
chf,G (kg m-2s-1),CHF (kW m-2),mass flux,critical heat flux,1,positive,"Based on the expected physical relation, increasing G (kg m-2s-1) is expected to increase CHF (kW m-2)."
chf,P (kPa),CHF (kW m-2),system pressure,critical heat flux,1,positive,"Based on the expected physical relation, increasing P (kPa) is expected to increase CHF (kW m-2)."
chf,D (m),CHF (kW m-2),flow channel hydraulic diameter,critical heat flux,-1,negative,"Based on the expected physical relation, increasing D (m) is expected to decrease CHF (kW m-2)."
chf,L (m),CHF (kW m-2),heated length of the channel,critical heat flux,-1,negative,"Based on the expected physical relation, increasing L (m) is expected to decrease CHF (kW m-2)."
chf,Xe (-),CHF (kW m-2),exit quality,critical heat flux,-1,negative,"Based on the expected physical relation, increasing Xe (-) is expected to decrease CHF (kW m-2)."
